Species,Order,Brain_area,Num_an,Source,Mass_SD,N_neurons_SD,N_other_SD,Neurons_per_mg_SD,Other_per_mg_SD,Other_per_neuron_SD
Mesocricetusauratus,Glires,cerebellum,2,"Herculano-Houzeletal.,2006",0.03,"12,351,246","1,713,108","3,743","1,054",NA
Mesocricetusauratus,Glires,rest_of_brain,2,"Herculano-Houzeletal.,2006",0.057,"1,162,059","8,878,857",715,"15,174",NA
Mesocricetusauratus,Glires,cerebral_ctx,2,"Herculano-Houzeletal.,2006",0.048,"3,619,934","1,350,121","12,332","7,136",0.608
Mesocricetusauratus,Glires,olf_bulb,2,"Herculano-Houzeletal.,2006",0.011,"347,203","2,277,605","27,498","21,237",0.455
Microcebusmurinus,Primata,cerebellum,NA,"Gabietal.,2010",NA,NA,NA,NA,NA,NA
Microcebusmurinus,Primata,rest_of_brain,NA,"Gabietal.,2010",NA,NA,NA,NA,NA,NA
Microcebusmurinus,Primata,cerebral_ctx,NA,"Gabietal.,2010",NA,NA,NA,NA,NA,NA
"Microcebusmurinus,n=2",Primata,olf_bulb,NA,"Ribeiroetal.,2014",0.008,"119,088","842,576","61,946","54,311",NA
Musmusculus,Glires,cerebellum,4,"Herculano-Houzeletal.,2006",0.005,"9,277,647","1,502,773","128,541","25,715",0.017
Musmusculus,Glires,rest_of_brain,4,"Herculano-Houzeletal.,2006",0.019,"1,577,022","3,590,591","6,623","11,249",NA
Musmusculus,Glires,cerebral_ctx,4,"Herculano-Houzeletal.,2006",0.015,"2,242,257","3,668,594","7,683","15,807",0.177
Musmusculus,Glires,olf_bulb,4,"Herculano-Houzeletal.,2006",0.004,"1,246,396","1,154,502","34,036","75,573",0.26
Oryctolaguscuniculus,Glires,cerebellum,NA,"Herculano-Houzeletal.,2011",NA,NA,NA,NA,NA,NA
Oryctolaguscuniculus,Glires,rest_of_brain,NA,"Herculano-Houzeletal.,2011",NA,NA,NA,NA,NA,NA
Oryctolaguscuniculus,Glires,cerebral_ctx,NA,"Herculano-Houzeletal.,2011",NA,NA,NA,NA,NA,NA
Oryctolaguscuniculus,Glires,olf_bulb,NA,"Herculano-Houzeletal.,2011",NA,NA,NA,NA,NA,NA
Otolemurgarnetti,Primata,cerebellum,11,"Herculano-Houzeletal.,2007",0.105,"52,450,000","20,290,000","45,720","11,890",NA
Otolemurgarnetti,Primata,rest_of_brain,11,"Herculano-Houzeletal.,2007",0.021,"12,280,000","64,500,000","5,920",NA,NA
Otolemurgarnetti,Primata,cerebral_ctx,11,"Herculano-Houzeletal.,2007",0.863,"87,570,000","74,790,000","20,500","3,400",NA
Otolemurgarnetti,Primata,olf_bulb,11,"Ribeiroetal.,2014",0.016,"9,645,480","7,155,556","47,590","39,463",NA
Papioanubiscynocephalus,Primata,cerebellum,NA,"Gabietal.,2010",NA,NA,NA,NA,NA,NA
Papioanubiscynocephalus,Primata,rest_of_brain,NA,"Gabietal.,2010",NA,NA,NA,NA,NA,NA
Papioanubiscynocephalus,Primata,cerebral_ctx,NA,"Gabietal.,2010",NA,NA,NA,NA,NA,NA
Parascalopsbreweri,Eulipotyphla,cerebellum,3,"Sarkoetal.,2009",0.005,"13,850,000","1,100,000","173,030","7,910",NA
Parascalopsbreweri,Eulipotyphla,rest_of_brain,3,"Sarkoetal.,2009",0.009,"920,000","1,500,000","3,180","7,180",0.375
Parascalopsbreweri,Eulipotyphla,cerebral_ctx,3,"Sarkoetal.,2009",0.019,"2,611,000","4,884,000","7,359","14,583",0.109
Parascalopsbreweri,Eulipotyphla,olf_bulb,3,"Sarkoetal.,2009",0.008,"6,370,000","3,400,000","81,590","41,370",0.168
Petrodromustetradactylus,Afrotheria,cerebellum,NA,"Nevesetal.,2014",NA,"14,948,000","15,801,000","15,780","41,831",0.102
Petrodromustetradactylus,Afrotheria,rest_of_brain,2,"Nevesetal.,2014",0.022,"188,000","5,408,000",547,"6,830",0.407
Petrodromustetradactylus,Afrotheria,cerebral_ctx,2,"Nevesetal.,2014",0.059,"5,840,000","1,104,000","3,416","2,661",0.053
