Species,Population,Name,Sex,Age,Subject #,Warmups,Test % Correct,1st Half % Correct,2nd Half % Correct
Fox squirrel,UC Berkeley,Tornado,Unkown,Unkown,3,4,70,60,80
Fox squirrel,UC Berkeley,Dot,F,Unkown,4,9,30,20,40
Fox squirrel,UC Berkeley,Boomerang,Unkown,Unkown,5,4,80,60,100
Fox squirrel,UC Berkeley,Jemaine,F,Unkown,6,4,80,80,80
Fox squirrel,UC Berkeley,Van,U,Unkown,7,5,50,60,40
Fox squirrel,UC Berkeley,Nemo,F,Unkown,8,5,80,80,80
Fox squirrel,UC Berkeley,Picasso,F,Unkown,9,4,90,80,100
Fox squirrel,UC Berkeley,Grumpy,F,Unkown,10,4,60,40,80
Fox squirrel,UC Berkeley,Rooster Jr,M,Unkown,11,4,100,100,100
Fox squirrel,UC Berkeley,Rooster,M,Unkown,12,10,40,60,20
Fox squirrel,UC Berkeley,Slow Eater,U,Unkown,13,5,50,60,40
Golden Monkey,Beijing Wildlife Park,Lao er,M,21,1,4,40,40,40
Golden Monkey,Beijing Wildlife Park,Xiao Zai,F,3,2,4,10,0,20
Golden Monkey,Beijing Wildlife Park,Xiao Hai,M,20,3,7,0,0,0
Golden Monkey,Beijing Wildlife Park,Wu Mei,F,8,4,9,80,60,100
Golden Monkey,Beijing Wildlife Park,Tao Tao,F,4,5,4,40,20,60
Golden Monkey,Beijing Wildlife Park,Liu Mei,F,7,6,4,60,20,100
Golden Monkey,Beijing Wildlife Park,Jian Jian,M,16,7,8,50,60,40
Golden Monkey,Beijing Wildlife Park,Xiao Mei,F,17,8,5,0,0,0
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg25,M,12,1,4,30,0,60
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cgBIG,M,5,2,4,100,100,100
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg33,F,5,3,4,100,100,100
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cgRT,F,3,4,4,10,20,0
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg40,F,5,5,4,90,80,100
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg03,F,5,6,4,80,100,60
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg02,F,5,7,4,70,60,80
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg28,F,7,8,4,50,20,80
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg43,M,10,9,4,70,40,100
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg13,F,5,10,4,30,20,40
Gorilla,MPI - Leipzig,Viringika,F,16,1,4,100,100,100
Gorilla,MPI - Leipzig,Kibara,F,7,2,4,100,100,100
Gorilla,MPI - Leipzig,Louna,F,4,3,4,80,100,60
Gorilla,National Zoo,Kwame,M,10,4,5,100,100,100
Gorilla,National Zoo,Haloko,F,42,5,4,90,80,100
Gorilla,National Zoo,Mandara,F,28,6,5,90,100,80
Gorilla,National Zoo,Kojo,M,8,7,4,90,100,80
Gorilla,National Zoo,Baraka,M,17,8,5,100,100,100
Gorilla,National Zoo,Kigali,F,15,9,4,100,100,100
Gray wolf,Wolf Science Center,Kaspar,M,2.6767123287671235,1,4,90,100,80
Gray wolf,Wolf Science Center,Apache,M,2.2575342465753425,2,4,70,60,80
Gray wolf,Wolf Science Center,Cherokee,M,1.6767123287671233,3,4,90,80,100
Gray wolf,Wolf Science Center,Shima,F,2.6767123287671235,4,4,90,80,100
Gray wolf,Wolf Science Center,Nanuk,M,1.6767123287671233,5,4,100,100,100
Gray wolf,Wolf Science Center,Tatonga,F,1.6767123287671233,6,6,50,0,100
Gray wolf,Wolf Science Center,Geronimo,M,1.6767123287671233,7,8,20,20,20
Gray wolf,Wolf Science Center,Yukon,F,1.6767123287671233,8,4,70,60,80
