Species,Population,Subject,Sex,Age,Cylinder,A.not.B
capuchin monkey,ISTC-CNR Primate Centre,Zapotec,M,adult,-,*
capuchin monkey,Yale University,AG,M,16,*,*
capuchin monkey,Yale University,AH,M,5,*,*
capuchin monkey,Yale University,FL,M,15,*,*
capuchin monkey,Yale University,HB,F,3,*,*
capuchin monkey,Yale University,HG,F,11,*,*
capuchin monkey,Yale University,HR,F,6,*,*
capuchin monkey,Yale University,JM,F,15,*,*
capuchin monkey,Yale University,MD,F,10,*,*
capuchin monkey,Yale University,MP,F,4,*,*
capuchin monkey,Yale University,NN,M,16,*,*
chimpanzee,MPI - Leipzig,Alex,M,10,*,-
chimpanzee,MPI - Leipzig,Alexandra,F,11,*,-
chimpanzee,MPI - Leipzig,Fifi,F,18,*,*
chimpanzee,MPI - Leipzig,Jahaga,F,18,*,*
chimpanzee,MPI - Leipzig,Trudi,F,18,*,*
chimpanzee,MPI-Leipzig,Fraukje,F,28,-,*
chimpanzee,MPI-Leipzig,Frodo,M,10,-,*
chimpanzee,MPI-Leipzig,Riet,F,6,-,*
chimpanzee,MPI-Leipzig,Sandra,F,11,-,*
chimpanzee,North Carolina Zoo,Jon,M,15,-,*
chimpanzee,North Carolina Zoo,Kendall,M,12,-,*
chimpanzee,North Carolina Zoo,Lance,M,10,-,*
chimpanzee,North Carolina Zoo,Maggie,F,38,-,*
chimpanzee,North Carolina Zoo,Ruby,F,15,-,*
chimpanzee,North Carolina Zoo,Ruthie,F,40,-,*
chimpanzee,North Carolina Zoo,Sakoto,M,10,-,*
chimpanzee,North Carolina Zoo,Terry,F,42,-,*
Coquerel's sifaka,Duke Lemur Center,Anastasia,F,4,*,-
Coquerel's sifaka,Duke Lemur Center,Antonia,F,10,*,-
Coquerel's sifaka,Duke Lemur Center,Brutus,M,9,-,*
Coquerel's sifaka,Duke Lemur Center,Drusilla,F,17,-,*
Coquerel's sifaka,Duke Lemur Center,Gordian,M,14,*,*
Coquerel's sifaka,Duke Lemur Center,Gratian,M,6,*,-
Coquerel's sifaka,Duke Lemur Center,Jovian,M,4,*,-
Coquerel's sifaka,Duke Lemur Center,Julian,M,17,-,*
Coquerel's sifaka,Duke Lemur Center,Lucius,M,5,*,*
Coquerel's sifaka,Duke Lemur Center,Marcus Aurelius,M,7,*,*
Coquerel's sifaka,Duke Lemur Center,Martin,M,2,-,*
Coquerel's sifaka,Duke Lemur Center,Matilda,F,2,*,*
Coquerel's sifaka,Duke Lemur Center,Pia,F,9,*,-
Coquerel's sifaka,Duke Lemur Center,Rhodelina,F,3,-,*
Coquerel's sifaka,Duke Lemur Center,Theo,M,7,-,*
Coquerel's sifaka,Duke Lemur Center,Tiberius,M,21,*,-
coyote,Logan Field Station,3.1,F,3,*,-
coyote,Logan Field Station,3.2,M,6,*,*
coyote,Logan Field Station,3.3,F,4,*,*
coyote,Logan Field Station,4.0999999999999996,M,2,-,*
coyote,Logan Field Station,4.2,M,3,*,*
coyote,Logan Field Station,4.3,F,2,*,*
coyote,Logan Field Station,5.0999999999999996,M,3,*,*
coyote,Logan Field Station,5.2,F,3,*,-
coyote,Logan Field Station,5.3,M,6,*,*
domestic dog,Duke Canine Cognition Center,Amber,F,6,*,*
domestic dog,Duke Canine Cognition Center,Aspen,F,2,*,*
domestic dog,Duke Canine Cognition Center,Astro,M,3,*,*
domestic dog,Duke Canine Cognition Center,Bailey,M,7,*,*
domestic dog,Duke Canine Cognition Center,Bender,M,1,*,*
domestic dog,Duke Canine Cognition Center,Bonnie,F,9,*,*
domestic dog,Duke Canine Cognition Center,Bowie,M,5,*,*
domestic dog,Duke Canine Cognition Center,Buffy,F,6,*,*
domestic dog,Duke Canine Cognition Center,Cassie,F,8,*,*
domestic dog,Duke Canine Cognition Center,Cassie(2),F,8,*,*
domestic dog,Duke Canine Cognition Center,Chewie,M,3,*,*
domestic dog,Duke Canine Cognition Center,Chloe,F,1,*,*
domestic dog,Duke Canine Cognition Center,Clara,F,8,*,*
domestic dog,Duke Canine Cognition Center,Cricket,F,3,*,*
domestic dog,Duke Canine Cognition Center,Dakota,F,3,*,*
domestic dog,Duke Canine Cognition Center,Dallas,M,4,*,*
domestic dog,Duke Canine Cognition Center,Dax,M,1,*,*
domestic dog,Duke Canine Cognition Center,Diva,F,9,*,*
domestic dog,Duke Canine Cognition Center,Ela,F,10,*,*
domestic dog,Duke Canine Cognition Center,Ellie,F,2,*,*
domestic dog,Duke Canine Cognition Center,Friday,M,7,*,*
domestic dog,Duke Canine Cognition Center,Gertie,F,5,*,*
domestic dog,Duke Canine Cognition Center,Ginger,F,3,*,*
domestic dog,Duke Canine Cognition Center,Griffin,M,5,*,*
domestic dog,Duke Canine Cognition Center,Gus,M,2,*,*
domestic dog,Duke Canine Cognition Center,Harbor,M,4,*,*
domestic dog,Duke Canine Cognition Center,Jada,F,4,*,*
domestic dog,Duke Canine Cognition Center,Jimmy,M,7,*,*
domestic dog,Duke Canine Cognition Center,Joey,M,7,*,*
domestic dog,Duke Canine Cognition Center,Kali,F,9,*,*
domestic dog,Duke Canine Cognition Center,Lily,F,10,*,*
domestic dog,Duke Canine Cognition Center,Lucky,M,7,*,*
domestic dog,Duke Canine Cognition Center,Ludo,M,2,*,*
domestic dog,Duke Canine Cognition Center,Lula Belle,F,11,*,*
domestic dog,Duke Canine Cognition Center,Mazie,F,7,*,*
domestic dog,Duke Canine Cognition Center,Milo,M,1,*,*
domestic dog,Duke Canine Cognition Center,Morgan,M,11,*,*
domestic dog,Duke Canine Cognition Center,Murphy,M,2,*,*
domestic dog,Duke Canine Cognition Center,Norman,M,4,*,*
domestic dog,Duke Canine Cognition Center,Peanut,F,2,*,*
domestic dog,Duke Canine Cognition Center,Poppy,F,6,*,*
domestic dog,Duke Canine Cognition Center,Rex,M,8,*,*
domestic dog,Duke Canine Cognition Center,Sadie,F,7,*,*
domestic dog,Duke Canine Cognition Center,Sam,M,1,*,*
domestic dog,Duke Canine Cognition Center,Spencer,M,7,*,*
domestic dog,Duke Canine Cognition Center,Spike,M,4,*,*
domestic dog,Duke Canine Cognition Center,Tiger,F,9,*,*
domestic dog,Duke Canine Cognition Center,Turbo,M,2,*,*
domestic dog,Duke Canine Cognition Center,Vespa,F,1,*,*
domestic dog,Duke Canine Cognition Center,Wonton,M,4,*,*
domestic dog,Duke Canine Cognition Center,Zen,M,5,*,*
domestic dog,Duke Canine Cognition Center,Zep,M,5,*,*
domestic dog,Duke Canine Cognition Center,Zephyr,M,3,*,*
domestic dog,Duke Canine Cognition Center,Zoey,F,1,*,*
domestic dog,MPI - Leipzig,Aimee,F,3,*,*
domestic dog,MPI - Leipzig,Benji,M,6,*,*
domestic dog,MPI - Leipzig,Blue,M,3,*,*
domestic dog,MPI - Leipzig,Chiquita,F,2,*,*
domestic dog,MPI - Leipzig,Colin,M,2,*,*
domestic dog,MPI - Leipzig,Guenni,M,1,*,*
domestic dog,MPI - Leipzig,Jazzy,F,3,*,*
domestic dog,MPI - Leipzig,Judy,F,2,*,*
domestic dog,MPI - Leipzig,Luna,F,7,*,*
domestic dog,MPI - Leipzig,Migo,M,2,*,*
domestic dog,MPI - Leipzig,Mira,F,5,*,*
domestic dog,MPI - Leipzig,Sammy,M,8,*,*
Eurasian jay,University of Cambridge,Hoy,M,3,*,-
Eurasian jay,University of Cambridge,Hunter,F,3,*,-
Eurasian jay,University of Cambridge,Lima,M,4,-,*
Eurasian jay,University of Cambridge,Ohuruogu,F,3,*,-
Eurasian jay,University of Cambridge,Pendleton,M,3,-,*
Eurasian jay,University of Cambridge,Quito,M,4,*,*
Eurasian jay,University of Cambridge,Rome,F,4,-,*
Eurasian jay,University of Cambridge,Romero,M,3,*,*
Eurasian jay,University of Cambridge,Wilson,M,3,*,*
fox squirrel,UC Berkeley,Ace,M,1,-,*
fox squirrel,UC Berkeley,Boomerang,unknown,unknown,*,-
fox squirrel,UC Berkeley,Cal,F,unknown,*,-
fox squirrel,UC Berkeley,Cursive,F,3,-,*
fox squirrel,UC Berkeley,Dot,F,unknown,*,-
fox squirrel,UC Berkeley,Grumpy,F,unknown,*,-
fox squirrel,UC Berkeley,Isis,F,1,-,*
fox squirrel,UC Berkeley,Jemaine,F,unknown,*,-
fox squirrel,UC Berkeley,Leila,F,1,-,*
fox squirrel,UC Berkeley,Missi,unknown,unknown,*,-
fox squirrel,UC Berkeley,Nemo,F,unknown,*,-
fox squirrel,UC Berkeley,NR,unknown,1,-,*
fox squirrel,UC Berkeley,Picasso,F,unknown,*,-
fox squirrel,UC Berkeley,Romi,F,1,-,*
fox squirrel,UC Berkeley,Rooster ,M,unknown,*,-
fox squirrel,UC Berkeley,Rooster Jr,M,unknown,*,-
fox squirrel,UC Berkeley,Silver,M,1,-,*
fox squirrel,UC Berkeley,Slow Eater,unknown,unknown,*,-
fox squirrel,UC Berkeley,Tornado,unknown,unknown,*,-
fox squirrel,UC Berkeley,Van,unknown,unknown,*,-
fox squirrel,UC Berkeley,Zippy,M,1,-,*
golden monkey,Beijing Wildlife Park,Jian Jian,M,16,*,*
golden monkey,Beijing Wildlife Park,Lao er,M,21,*,*
golden monkey,Beijing Wildlife Park,Liu Mei,F,7,*,*
golden monkey,Beijing Wildlife Park,No Name,M,unknown,-,*
golden monkey,Beijing Wildlife Park,San Niu,F,9,-,*
golden monkey,Beijing Wildlife Park,Tao Tao,F,4,*,*
golden monkey,Beijing Wildlife Park,Wu Mei,F,8,*,*
golden monkey,Beijing Wildlife Park,Xiao Hai,M,20,*,*
golden monkey,Beijing Wildlife Park,Xiao Mei,F,17,*,-
golden monkey,Beijing Wildlife Park,Xiao Zai,F,3,*,*
golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg02,F,5,*,-
golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg03,F,5,*,-
golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg13,F,5,*,-
golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg25,M,12,*,-
golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg28,F,7,*,-
golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg33,F,5,*,-
golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg40,F,5,*,-
golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg43,M,10,*,-
golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cgBIG,M,5,*,-
golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cgRT,F,3,*,-
gorilla,MPI - Leipzig,Kibara,F,7,*,-
gorilla,MPI - Leipzig,Louna,F,4,*,-
gorilla,MPI - Leipzig,Viringika,F,16,*,*
gorilla,MPI-Leipzig,Bebe,F,6,-,*
gorilla,MPI-Leipzig,Gorgo,M,30,-,*
gorilla,MPI-Leipzig,Ndiki,F,32,-,*
gorilla,MPI-Leipzig,Nkwango,M,16,-,*
gorilla,MPI-Leipzig,Ruby,F,11,-,*
gorilla,MPI-Leipzig,Vizuri,F,11,-,*
gorilla,National Zoo,Baraka,M,17,*,*
gorilla,National Zoo,Haloko,F,42,*,-
gorilla,National Zoo,Kigali,F,15,*,*
gorilla,National Zoo,Kojo,M,8,*,*
gorilla,National Zoo,Kwame,M,10,*,*
gorilla,National Zoo,Mandara,F,28,*,*
gray wolf,Wolf Science Center,Apache,M,2,*,-
gray wolf,Wolf Science Center,Aragorn,M,3,*,-
gray wolf,Wolf Science Center,Cherokee,M,2,*,-
gray wolf,Wolf Science Center,Geronimo,M,2,*,-
gray wolf,Wolf Science Center,Kaspar,M,3,*,-
gray wolf,Wolf Science Center,Kenai,M,0,*,-
gray wolf,Wolf Science Center,Nanuk,M,2,*,-
gray wolf,Wolf Science Center,Shima,F,3,*,-
gray wolf,Wolf Science Center,Tatonga,F,2,*,-
gray wolf,Wolf Science Center,Wapi,M,1,*,-
gray wolf,Wolf Science Center,Yukon,F,2,*,-
hamadryas baboon,North Carolina Zoo,Addis,M,12,-,*
hamadryas baboon,North Carolina Zoo,Cairo,M,5,*,*
hamadryas baboon,North Carolina Zoo,Gandar,M,12,*,*
hamadryas baboon,North Carolina Zoo,Geb,M,6,*,*
hamadryas baboon,North Carolina Zoo,Marta,F,23,*,*
hamadryas baboon,North Carolina Zoo,Matilda,F,20,*,*
hamadryas baboon,North Carolina Zoo,Mendi,F,12,*,*
hamadryas baboon,North Carolina Zoo,Nigelli,M,13,-,*
hamadryas baboon,North Carolina Zoo,Rhea,F,7,-,*
hamadryas baboon,North Carolina Zoo,Riya,F,7,*,-
hamadryas baboon,North Carolina Zoo,Tchabu,M,5,*,*
hamadryas baboon,North Carolina Zoo,Tukio,M,5,*,*
long-tailed macaque,University of Utrecht,Anastasia,F,juvenile,-,*
long-tailed macaque,University of Utrecht,Cleo,M,adult,-,*
long-tailed macaque,University of Utrecht,Cornea,F,adult,-,*
long-tailed macaque,University of Utrecht,Era,F,adult,-,*
long-tailed macaque,University of Utrecht,Icetea,F,adult,-,*
long-tailed macaque,University of Utrecht,Linea,F,subadult,-,*
long-tailed macaque,University of Utrecht,Logica,F,subadult,-,*
long-tailed macaque,University of Utrecht,Ofelia,F,juvenile,-,*
long-tailed macaque,University of Utrecht,Salvadoro,M,juvenile,-,*
long-tailed macaque,University of Utrecht,Sea,F,adult,-,*
long-tailed macaque,University of Utrecht,Video,M,subadult,-,*
long-tailed macaque,University of Utrecht,Zargasso,M,juvenile,-,*
marmoset,University of Zurich,Juniper,M,12,*,*
marmoset,University of Zurich,Juri,M,9,*,*
marmoset,University of Zurich,Kaliper,M,8,*,*
marmoset,University of Zurich,Kalium,F,12,*,*
marmoset,University of Zurich,Kantor,M,6,*,-
marmoset,University of Zurich,Kapi,M,7,*,*
marmoset,University of Zurich,Kapo,M,7,-,*
marmoset,University of Zurich,Venezia,F,4,*,*
marmoset,University of Zurich,Venus,F,5,*,*
marmoset,University of Zurich,Verona,F,8,*,*
marmoset,University of Zurich,Vesta,F,8,*,*
marmoset,University of Zurich,Vreni,F,8,*,-
Mongolian gerbil,UC Berkeley,Adlin,M,2,*,*
Mongolian gerbil,UC Berkeley,Alti,F,1,*,-
Mongolian gerbil,UC Berkeley,Besh,M,1,*,*
Mongolian gerbil,UC Berkeley,Chetryi,F,2,*,-
Mongolian gerbil,UC Berkeley,Cuarenta,F,1,-,*
Mongolian gerbil,UC Berkeley,Dva,F,2,*,-
Mongolian gerbil,UC Berkeley,Fyorir,F,1,-,*
Mongolian gerbil,UC Berkeley,Ni,F,1,*,*
Mongolian gerbil,UC Berkeley,Ooch,M,1,*,*
Mongolian gerbil,UC Berkeley,Roku,F,1,*,*
Mongolian gerbil,UC Berkeley,Sekkiz,F,1,*,-
Mongolian gerbil,UC Berkeley,Tri,M,2,*,*
Mongolian gerbil,UC Berkeley,Tveir,F,1,-,*
Mongolian gerbil,UC Berkeley,Vente,F,1,*,*
mongoose lemur,Duke Lemur Center,Concepcion,F,25,*,*
mongoose lemur,Duke Lemur Center,Eduardo,M,15,*,-
mongoose lemur,Duke Lemur Center,Fabio,M,22,-,*
mongoose lemur,Duke Lemur Center,Felipe,M,14,-,*
mongoose lemur,Duke Lemur Center,Flor,F,24,*,*
mongoose lemur,Duke Lemur Center,Guadalupe,F,15,-,*
mongoose lemur,Duke Lemur Center,Julio,M,20,*,*
mongoose lemur,Duke Lemur Center,Maddie,F,4,*,*
mongoose lemur,Duke Lemur Center,Mercedes,M,4,*,-
mongoose lemur,Duke Lemur Center,Moheli,F,21,*,-
mongoose lemur,Duke Lemur Center,Paco,M,11,*,*
mongoose lemur,Duke Lemur Center,Pedro,M,20,-,*
mongoose lemur,Duke Lemur Center,Piedad,F,22,*,-
mongoose lemur,Duke Lemur Center,Sancho,M,28,*,*
olive baboon,Seneca Park Zoo,Jefferson,M,4,*,*
olive baboon,Seneca Park Zoo,Kalamata,M,3,*,*
olive baboon,Seneca Park Zoo,Mansino,M,6,*,*
olive baboon,Seneca Park Zoo,Olive Oil,F,4,*,*
olive baboon,Seneca Park Zoo,Pearl,F,3,*,*
olive baboon,Seneca Park Zoo,Pepperella,F,17,*,*
olive baboon,Seneca Park Zoo,Pimento,F,4,-,*
olive baboon,Seneca Park Zoo,Sabina,F,4,*,*
olive baboon,Seneca Park Zoo,Ursula,F,13,*,*
orange-winged amazon,University of St. Andrews,BUL - Tulip,F,unknown,*,*
orange-winged amazon,University of St. Andrews,BUR - Benny,M,unknown,*,-
orange-winged amazon,University of St. Andrews,GDL - Ricky,M,unknown,*,*
orange-winged amazon,University of St. Andrews,GYLSR - Freckles,M,unknown,*,*
orange-winged amazon,University of St. Andrews,LGR - Belle,F,unknown,*,*
orange-winged amazon,University of St. Andrews,OL - Piglet,F,unknown,*,-
orange-winged amazon,University of St. Andrews,OR - Simon,M,unknown,*,*
orange-winged amazon,University of St. Andrews,PIL - Rocky,M,unknown,*,*
orange-winged amazon,University of St. Andrews,PIR - Bo,M,unknown,*,*
orange-winged amazon,University of St. Andrews,PUR - Pete,M,unknown,*,*
orange-winged amazon,University of St. Andrews,RR - Stumpy,M,unknown,*,*
orange-winged amazon,University of St. Andrews,SR - Penny,F,unknown,*,*
orangutan,MPI - Leipzig,Dokana,F,22,*,-
orangutan,MPI - Leipzig,Kila,F,11,*,-
orangutan,MPI - Leipzig,Padana,F,13,*,-
orangutan,MPI - Leipzig,Pini,F,23,*,-
orangutan,MPI - Leipzig,Raaja,F,7,*,-
orangutan,MPI-Leipzig,Bimbo,M,10,-,*
orangutan,MPI-Leipzig,Dunja,F,38,-,*
orangutan,MPI-Leipzig,Padana,F,13,-,*
orangutan,MPI-Leipzig,Pini ,F,23,-,*
orangutan,MPI-Leipzig,Toba,F,7,-,*
orangutan,MPI-Leipzig,Walter,M,21,-,*
orangutan,National Zoo,Batang,F,13,*,*
orangutan,National Zoo,Bonnie,F,33,*,*
orangutan,National Zoo,Iris,F,23,*,*
orangutan,National Zoo,Kiko,M,22,*,*
orangutan,National Zoo,Kyle,M,13,*,*
orangutan,National Zoo,Lucy,F,37,*,*
red-bellied lemur,Duke Lemur Center,Cheyenne,F,22,*,-
red-bellied lemur,Duke Lemur Center,Dido,F,26,*,-
red-bellied lemur,Duke Lemur Center,Fox,F,15,*,-
red-bellied lemur,Duke Lemur Center,Hannibal,M,24,*,-
red-bellied lemur,Duke Lemur Center,Hopi,F,20,*,-
red-bellied lemur,Duke Lemur Center,Iroquois,M,18,*,-
red-bellied lemur,Duke Lemur Center,Mohawk,M,28,*,-
red-bellied lemur,Duke Lemur Center,Navajo,M,22,*,-
rhesus macaque,Duke University,Bails,F,9,*,-
rhesus macaque,Duke University,Boxer,F,14,*,-
rhesus macaque,Duke University,Curry,F,9,*,-
rhesus macaque,Duke University,Feinstein,F,15,*,-
rhesus macaque,Duke University,Mikulski,F,14,*,-
rhesus macaque,Duke University,Schroeder,F,14,*,-
ring-tailed lemur,Duke Lemur Center,Aracus,M,19,-,*
ring-tailed lemur,Duke Lemur Center,Aristides,M,17,-,*
ring-tailed lemur,Duke Lemur Center,Berisades,M,6,*,*
ring-tailed lemur,Duke Lemur Center,Cap N' Lee,M,8,*,-
ring-tailed lemur,Duke Lemur Center,Cleius,F,25,*,*
ring-tailed lemur,Duke Lemur Center,Cleonomis,F,21,*,-
ring-tailed lemur,Duke Lemur Center,Ginger,F,2,*,-
ring-tailed lemur,Duke Lemur Center,Ivy,M,6,*,*
ring-tailed lemur,Duke Lemur Center,Licinius,M,17,-,*
ring-tailed lemur,Duke Lemur Center,Lilah,F,5,*,*
ring-tailed lemur,Duke Lemur Center,Nemo,M,21,*,-
ring-tailed lemur,Duke Lemur Center,Nicaea,F,5,*,-
ring-tailed lemur,Duke Lemur Center,Sosiphanes,F,13,-,*
ring-tailed lemur,Duke Lemur Center,Tellus,F,6,*,*
ring-tailed lemur,Duke Lemur Center,Teres,M,15,*,*
ruffed lemur,Duke Lemur Center,Alphard,M,19,*,-
ruffed lemur,Duke Lemur Center,Amor,M,29,-,*
ruffed lemur,Duke Lemur Center,Antlia,F,19,*,-
ruffed lemur,Duke Lemur Center,Aries,M,3,*,*
ruffed lemur,Duke Lemur Center,Borealis,M,22,*,*
ruffed lemur,Duke Lemur Center,Carina,F,6,*,*
ruffed lemur,Duke Lemur Center,Comet,M,24,*,-
ruffed lemur,Duke Lemur Center,Diphda,F,19,*,-
ruffed lemur,Duke Lemur Center,Eros,M,1,-,*
ruffed lemur,Duke Lemur Center,Esther,F,1,-,*
ruffed lemur,Duke Lemur Center,Grace,F,12,*,-
ruffed lemur,Duke Lemur Center,Hunter,M,12,*,-
ruffed lemur,Duke Lemur Center,Hydra,F,2,-,*
ruffed lemur,Duke Lemur Center,Junior,M,4,*,-
ruffed lemur,Duke Lemur Center,Kizzy,F,5,-,*
ruffed lemur,Duke Lemur Center,Little Dipper,F,6,*,-
ruffed lemur,Duke Lemur Center,Lyra,F,2,-,*
ruffed lemur,Duke Lemur Center,Scorpius,M,3,-,*
song sparrow,Duke University,Bk-OR,M,unknown,*,-
song sparrow,Duke University,FY-WW,M,unknown,*,-
song sparrow,Duke University,G-BkBk,M,unknown,*,-
song sparrow,Duke University,G-OO,M,unknown,*,-
song sparrow,Duke University,G-PkPk,M,unknown,*,-
song sparrow,Duke University,G-WG,M,unknown,*,-
song sparrow,Duke University,O-BkBk,M,unknown,*,-
song sparrow,Duke University,O-lBl lBl,M,unknown,*,-
song sparrow,Duke University,O-PuPu,M,unknown,*,-
song sparrow,Duke University,Pu-BkBk,M,unknown,*,-
song sparrow,Duke University,Pu-RR,M,unknown,*,-
song sparrow,Duke University,R-WdBl,M,unknown,*,-
song sparrow,Duke University,W-OW,M,unknown,*,-
song sparrow,Duke University,W-PkPk,M,unknown,*,-
song sparrow,Duke University,W-PuW,M,unknown,*,-
song sparrow,Duke University,W-RW,M,unknown,*,-
song sparrow,Duke University,Y-BkBk,M,unknown,*,-
song sparrow,Duke University,Y-dBldBl,M,unknown,*,-
song sparrow,Duke University,Y-OO,M,unknown,*,-
song sparrow,Duke University,Y-RY,M,unknown,*,-
spider monkey, Centenario Zoo,1,F,subadult,-,*
spider monkey, Centenario Zoo,2,F,subadult,-,*
spider monkey, Centenario Zoo,3,M,subadult,-,*
spider monkey, Centenario Zoo,4,M,subadult,-,*
spider monkey, Centenario Zoo,8,F,adult,-,*
spider monkey, Centenario Zoo,9,F,adult,-,*
spider monkey, Centenario Zoo,11,F,adult,-,*
spider monkey, Centenario Zoo,21,M,adult,-,*
spider monkey, Centenario Zoo,22,M,adult,-,*
spider monkey, Centenario Zoo,23,M,adult,-,*
spider monkey, Centenario Zoo,24,F,subadult,-,*
spider monkey, Centenario Zoo,26,F,adult,-,*
spider monkey, Centenario Zoo,31,F,adult,-,*
spider monkey, Centenario Zoo,old 7,F,subadult,-,*
spider monkey, Centenario Zoo,old 9,F,adult,-,*
squirrel monkey,Kyoto University,Boo,M,18,*,*
squirrel monkey,Kyoto University,Coboo,M,17,*,*
squirrel monkey,Kyoto University,Gye,F,16,*,*
