Species,Pop,Sex,Sub_no.,Warmups,Test_percent_correct,first_corr,second_corr
Red-bellied lemur,Duke Lemur Center,M,5,5,50,60,40
Red-bellied lemur,Duke Lemur Center,M,6,20,60,20,100
Red-bellied lemur,Duke Lemur Center,F,7,11,100,100,100
Red-bellied lemur,Duke Lemur Center,M,8,56,30,20,40
Rhesus macaque,Duke University,F,1,4,90,80,100
Rhesus macaque,Duke University,F,2,4,90,80,100
Rhesus macaque,Duke University,F,3,4,90,80,100
Rhesus macaque,Duke University,F,4,4,90,80,100
Rhesus macaque,Duke University,F,5,4,90,80,100
Rhesus macaque,Duke University,F,6,4,30,20,40
Ring-tailed Lemur,Duke Lemur Center,M,1,6,30,40,20
Ring-tailed Lemur,Duke Lemur Center,M,2,14,50,40,60
Ring-tailed Lemur,Duke Lemur Center,F,3,7,40,20,60
Ring-tailed Lemur,Duke Lemur Center,F,4,4,90,80,100
Ring-tailed Lemur,Duke Lemur Center,F,5,4,90,80,100
Ring-tailed Lemur,Duke Lemur Center,M,6,4,100,100,100
Ring-tailed Lemur,Duke Lemur Center,F,7,5,60,60,60
Ring-tailed Lemur,Duke Lemur Center,M,8,7,70,40,100
Ring-tailed Lemur,Duke Lemur Center,F,9,5,50,40,60
Ring-tailed Lemur,Duke Lemur Center,F,10,5,80,80,80
Ring-tailed Lemur,Duke Lemur Center,M,11,4,88.88888889,80,100
Ruffed lemur,Duke Lemur Center,M,1,10,80,80,80
Ruffed lemur,Duke Lemur Center,M,2,5,20,20,20
Ruffed lemur,Duke Lemur Center,F,3,5,60,60,60
Ruffed lemur,Duke Lemur Center,F,4,4,100,100,100
Ruffed lemur,Duke Lemur Center,M,5,5,60,40,80
Ruffed lemur,Duke Lemur Center,F,6,5,80,80,80
Ruffed lemur,Duke Lemur Center,M,7,4,80,80,80
Ruffed lemur,Duke Lemur Center,M,8,4,50,40,60
Ruffed lemur,Duke Lemur Center,F,9,4,70,60,80
Ruffed lemur,Duke Lemur Center,F,10,5,66.66666667,60,75
Ruffed lemur,Duke Lemur Center,M,11,8,100,100,100
Song sparrow,Duke University,M,1,4,10,0,20
Song sparrow,Duke University,M,2,4,10,20,0
Song sparrow,Duke University,M,3,4,20,20,20
Song sparrow,Duke University,M,4,4,20,20,20
Song sparrow,Duke University,M,5,4,20,20,20
Song sparrow,Duke University,M,6,4,50,20,80
Song sparrow,Duke University,M,7,4,70,60,80
Song sparrow,Duke University,M,8,4,50,0,100
Song sparrow,Duke University,M,9,4,0,0,0
Song sparrow,Duke University,M,10,4,20,20,20
Song sparrow,Duke University,M,11,4,30,0,60
Song sparrow,Duke University,M,12,4,40,60,20
Song sparrow,Duke University,M,13,4,0,0,0
Song sparrow,Duke University,M,14,4,10,0,20
Song sparrow,Duke University,M,15,4,20,20,20
Song sparrow,Duke University,M,16,4,20,0,40
Song sparrow,Duke University,M,17,4,60,60,60
Song sparrow,Duke University,M,18,4,40,20,60
Song sparrow,Duke University,M,19,4,30,20,40
Song sparrow,Duke University,M,20,4,10,0,20
Squirrel monkey,Kyoto University,M,1,14,20,20,20
Squirrel monkey,Kyoto University,M,2,5,10,0,20
Squirrel monkey,Kyoto University,F,3,9,0,0,0
Squirrel monkey,Kyoto University,F,4,14,20,20,20
Squirrel monkey,Kyoto University,F,5,7,0,0,0
Squirrel monkey,Kyoto University,F,6,8,10,0,20
Squirrel monkey,Kyoto University,M,7,15,0,0,0
Squirrel monkey,Kyoto University,F,8,14,50,20,80
Squirrel monkey,Kyoto University,F,9,4,0,0,0
Squirrel monkey,Kyoto University,F,10,6,0,0,0
Squirrel monkey,"Living Links, University of St. Andrews",M,11,4,100,100,100
Squirrel monkey,"Living Links, University of St. Andrews",F,12,4,0,0,0
Squirrel monkey,"Living Links, University of St. Andrews",F,13,4,20,20,20
Squirrel monkey,"Living Links, University of St. Andrews",F,14,4,40,20,60
Squirrel monkey,"Living Links, University of St. Andrews",F,15,4,100,100,100
Squirrel monkey,"Living Links, University of St. Andrews",F,16,4,50,20,80
Squirrel monkey,"Living Links, University of St. Andrews",F,17,4,80,80,80
Squirrel monkey,"Living Links, University of St. Andrews",F,18,4,80,100,60
Squirrel monkey,"Living Links, University of St. Andrews",F,19,4,60,80,40
Swamp sparrow,Duke University,F,1,4,0,0,0
Swamp sparrow,Duke University,F,2,4,10,20,0
Swamp sparrow,Duke University,F,3,4,30,0,60
Swamp sparrow,Duke University,F,4,4,10,0,20
Swamp sparrow,Duke University,F,5,4,30,40,20
Swamp sparrow,Duke University,F,6,4,40,40,40
Swamp sparrow,Duke University,F,7,4,0,0,0
Swamp sparrow,Duke University,F,8,4,40,60,20
Swamp sparrow,Duke University,F,9,4,20,0,40
Swamp sparrow,Duke University,F,10,4,10,0,20
Swamp sparrow,Duke University,F,11,4,0,0,0
Swamp sparrow,Duke University,F,12,4,40,40,40
Swamp sparrow,Duke University,F,13,4,60,40,80
Swamp sparrow,Duke University,F,14,4,70,60,80
Swamp sparrow,Duke University,F,15,4,20,20,20
Swamp sparrow,Duke University,F,16,4,0,0,0
Swamp sparrow,Duke University,F,17,4,30,0,60
Swamp sparrow,Duke University,F,18,4,30,20,40
Swamp sparrow,Duke University,F,19,4,20,0,40
Swamp sparrow,Duke University,F,20,4,20,0,40
Swamp sparrow,Duke University,F,21,4,70,60,80
Swamp sparrow,Duke University,F,22,4,10,0,20
Swamp sparrow,Duke University,F,23,4,40,40,40
Western scrub jay,University of Cambridge,F,1,5,70,60,80
Western scrub jay,University of Cambridge,F,2,5,80,100,60
Western scrub jay,University of Cambridge,M,3,5,100,100,100
Western scrub jay,University of Cambridge,M,4,5,60,40,80
Western scrub jay,University of Cambridge,UNKOWN,5,4,60,60,60
Western scrub jay,University of Cambridge,UNKNOWN,6,4,90,80,100
White Carneau Pigeon,University of Kentucky,11,1,4,0,0,0
White Carneau Pigeon,University of Kentucky,6,2,4,20,20,20
White Carneau Pigeon,University of Kentucky,6,3,4,20,20,20
White Carneau Pigeon,University of Kentucky,6,4,4,10,20,0
White Carneau Pigeon,University of Kentucky,6,5,4,20,20,20
White Carneau Pigeon,University of Kentucky,6,6,4,70,100,40
White Carneau Pigeon,University of Kentucky,6,7,4,60,60,60
White Carneau Pigeon,University of Kentucky,6,8,4,60,20,100
White Carneau Pigeon,University of Kentucky,6,9,4,70,40,100
White Carneau Pigeon,University of Kentucky,6,10,4,0,0,0
White Carneau Pigeon,University of Kentucky,6,11,4,40,20,60
White Carneau Pigeon,University of Kentucky,6,12,4,20,20,20
Zebra Finch,Duke University,M,1,3,44.44444444,60,25
Zebra Finch,Duke University,F,2,3,44.44444444,40,50
Zebra Finch,Duke University,M,3,3,33.33333333,40,25
Zebra Finch,Duke University,M,4,4,44.44444444,20,75
Zebra Finch,Duke University,M,5,3,66.66666667,80,50
Zebra Finch,Duke University,M,6,3,66.66666667,60,75
Zebra Finch,Duke University,F,7,3,33.33333333,40,25
Zebra Finch,Duke University,F,8,3,66.66666667,60,75
Zebra Finch,Duke University,M,9,3,66.66666667,60,75
Zebra Finch,Duke University,M,10,3,33.33333333,40,25
Zebra Finch,Duke University,M,11,3,55.55555556,40,75
Zebra Finch,Duke University,F,12,3,77.77777778,80,75
Zebra Finch,Duke University,F,13,3,77.77777778,80,75
Zebra Finch,Duke University,F,14,3,55.55555556,60,50
Zebra Finch,Duke University,M,15,3,66.66666667,80,50
Zebra Finch,Duke University,M,16,5,44.44444444,40,50
Zebra Finch,Duke University,F,17,3,44.44444444,40,50
Zebra Finch,Duke University,M,18,3,33.33333333,40,25
Zebra Finch,Duke University,F,19,3,44.44444444,20,75
Zebra Finch,Duke University,F,20,3,66.66666667,60,75
Zebra Finch,Duke University,M,21,3,55.55555556,40,75
Zebra Finch,Duke University,F,22,4,55.55555556,40,75
Zebra Finch,Duke University,F,23,3,66.66666667,60,75
Zebra Finch,Duke University,M,24,3,44.44444444,40,50
Zebra Finch,Duke University,F,25,3,55.55555556,40,75
Zebra Finch,Duke University,M,26,3,55.55555556,60,50
Zebra Finch,Duke University,M,27,3,55.55555556,40,75
Zebra Finch,Duke University,M,28,3,33.33333333,20,50
Zebra Finch,Duke University,F,29,3,44.44444444,40,50
Zebra Finch,Duke University,F,30,3,33.33333333,20,50
Zebra Finch,Duke University,M,31,3,44.44444444,20,75
Zebra Finch,Duke University,F,32,3,44.44444444,40,50
Zebra Finch,Duke University,F,33,3,44.44444444,60,25
Zebra Finch,Duke University,F,34,3,66.66666667,60,75
Zebra Finch,Duke University,F,35,3,55.55555556,60,50
Zebra Finch,Duke University,M,36,3,44.44444444,40,50
Zebra Finch,Duke University,F,37,3,77.77777778,80,75
Zebra Finch,Duke University,F,38,3,55.55555556,40,75
Zebra Finch,Duke University,M,39,3,44.44444444,40,50
Zebra Finch,Duke University,M,40,3,66.66666667,60,75
Zebra Finch,Duke University,F,41,3,33.33333333,20,50
Zebra Finch,Duke University,F,42,3,66.66666667,40,100
Zebra Finch,Duke University,M,43,3,44.44444444,40,50
Zebra Finch,Duke University,F,44,3,44.44444444,80,0
Zebra Finch,Duke University,F,45,3,55.55555556,60,50
Zebra Finch,Duke University,M,46,3,44.44444444,60,25
Zebra Finch,Duke University,M,47,3,55.55555556,60,50
