Common.Name,Latin.Name,A.not.B.Y.N,Cylinder.Y.N,Task,Score,Composite.Score,Sex,Age,Population,Subject
domestic dog,Canis familiaris,Y,Y,A.not.B.Task,89.4,84.2,M,2,MPI - Leipzig,Colin
domestic dog,Canis familiaris,Y,Y,A.not.B.Task,89.4,84.2,M,1,MPI - Leipzig,Guenni
domestic dog,Canis familiaris,Y,Y,A.not.B.Task,89.4,84.2,F,3,MPI - Leipzig,Jazzy
domestic dog,Canis familiaris,Y,Y,A.not.B.Task,89.4,84.2,F,2,MPI - Leipzig,Judy
domestic dog,Canis familiaris,Y,Y,A.not.B.Task,89.4,84.2,F,7,MPI - Leipzig,Luna
domestic dog,Canis familiaris,Y,Y,A.not.B.Task,89.4,84.2,M,2,MPI - Leipzig,Migo
domestic dog,Canis familiaris,Y,Y,A.not.B.Task,89.4,84.2,F,5,MPI - Leipzig,Mira
domestic dog,Canis familiaris,Y,Y,A.not.B.Task,89.4,84.2,M,8,MPI - Leipzig,Sammy
Eurasian jay,Garrulus glandarius,N,Y,Cylinder.Task,58.3,37.5,M,3,University of Cambridge,Hoy
Eurasian jay,Garrulus glandarius,N,Y,Cylinder.Task,58.3,37.5,F,3,University of Cambridge,Hunter
Eurasian jay,Garrulus glandarius,Y,N,Cylinder.Task,58.3,37.5,M,4,University of Cambridge,Lima
Eurasian jay,Garrulus glandarius,N,Y,Cylinder.Task,58.3,37.5,F,3,University of Cambridge,Ohuruogu
Eurasian jay,Garrulus glandarius,Y,N,Cylinder.Task,58.3,37.5,M,3,University of Cambridge,Pendleton
Eurasian jay,Garrulus glandarius,Y,Y,Cylinder.Task,58.3,37.5,M,4,University of Cambridge,Quito
Eurasian jay,Garrulus glandarius,Y,N,Cylinder.Task,58.3,37.5,F,4,University of Cambridge,Rome
Eurasian jay,Garrulus glandarius,Y,Y,Cylinder.Task,58.3,37.5,M,3,University of Cambridge,Romero
Eurasian jay,Garrulus glandarius,Y,Y,Cylinder.Task,58.3,37.5,M,3,University of Cambridge,Wilson
Eurasian jay,Garrulus glandarius,N,Y,A.not.B.Task,16.7,37.5,M,3,University of Cambridge,Hoy
Eurasian jay,Garrulus glandarius,N,Y,A.not.B.Task,16.7,37.5,F,3,University of Cambridge,Hunter
Eurasian jay,Garrulus glandarius,Y,N,A.not.B.Task,16.7,37.5,M,4,University of Cambridge,Lima
Eurasian jay,Garrulus glandarius,N,Y,A.not.B.Task,16.7,37.5,F,3,University of Cambridge,Ohuruogu
Eurasian jay,Garrulus glandarius,Y,N,A.not.B.Task,16.7,37.5,M,3,University of Cambridge,Pendleton
Eurasian jay,Garrulus glandarius,Y,Y,A.not.B.Task,16.7,37.5,M,4,University of Cambridge,Quito
Eurasian jay,Garrulus glandarius,Y,N,A.not.B.Task,16.7,37.5,F,4,University of Cambridge,Rome
Eurasian jay,Garrulus glandarius,Y,Y,A.not.B.Task,16.7,37.5,M,3,University of Cambridge,Romero
Eurasian jay,Garrulus glandarius,Y,Y,A.not.B.Task,16.7,37.5,M,3,University of Cambridge,Wilson
fox squirrel,Scurius niger,Y,N,Cylinder.Task,66.900000000000006,39.700000000000003,M,1,UC Berkeley,Ace
fox squirrel,Scurius niger,N,Y,Cylinder.Task,66.900000000000006,39.700000000000003,unknown,unknown,UC Berkeley,Boomerang
fox squirrel,Scurius niger,N,Y,Cylinder.Task,66.900000000000006,39.700000000000003,F,unknown,UC Berkeley,Cal
fox squirrel,Scurius niger,Y,N,Cylinder.Task,66.900000000000006,39.700000000000003,F,3,UC Berkeley,Cursive
fox squirrel,Scurius niger,N,Y,Cylinder.Task,66.900000000000006,39.700000000000003,F,unknown,UC Berkeley,Dot
fox squirrel,Scurius niger,N,Y,Cylinder.Task,66.900000000000006,39.700000000000003,F,unknown,UC Berkeley,Grumpy
fox squirrel,Scurius niger,Y,N,Cylinder.Task,66.900000000000006,39.700000000000003,F,1,UC Berkeley,Isis
fox squirrel,Scurius niger,N,Y,Cylinder.Task,66.900000000000006,39.700000000000003,F,unknown,UC Berkeley,Jemaine
fox squirrel,Scurius niger,Y,N,Cylinder.Task,66.900000000000006,39.700000000000003,F,1,UC Berkeley,Leila
fox squirrel,Scurius niger,N,Y,Cylinder.Task,66.900000000000006,39.700000000000003,unknown,unknown,UC Berkeley,Missi
fox squirrel,Scurius niger,N,Y,Cylinder.Task,66.900000000000006,39.700000000000003,F,unknown,UC Berkeley,Nemo
fox squirrel,Scurius niger,Y,N,Cylinder.Task,66.900000000000006,39.700000000000003,unknown,1,UC Berkeley,NR
fox squirrel,Scurius niger,N,Y,Cylinder.Task,66.900000000000006,39.700000000000003,F,unknown,UC Berkeley,Picasso
