Species,Population,Name,Sex,Age,Subject #,Test % Correct,1st Half % Correct,2nd Half % Correct,Trial_type,N_trials
Domestic Dog,Duke,Zephyr,M,3,53,100,100,100,Warmups,4
Domestic Dog,Duke,Zoey,F,1,54,100,100,100,Warmups,4
Domestic Dog,MPI,Mira,F,5,55,100,100,100,Warmups,10
Domestic Dog,MPI,Guenni,M,1,56,100,100,100,Warmups,4
Domestic Dog,MPI,Luna,F,7,57,100,100,100,Warmups,4
Domestic Dog,MPI,Benji,M,6,58,90,80,100,Warmups,4
Domestic Dog,MPI,Migo,M,2,59,100,100,100,Warmups,5
Domestic Dog,MPI,Aimee,F,3,60,100,100,100,Warmups,4
Domestic Dog,MPI,Sammy,M,8,61,90,80,100,Warmups,4
Domestic Dog,MPI,Jazzy,F,3,62,100,100,100,Warmups,4
Domestic Dog,MPI,Chiquita,F,2,63,100,100,100,Warmups,5
Domestic Dog,MPI,Colin,M,2,64,100,100,100,Warmups,4
Domestic Dog,MPI,Judy,F,2,65,100,100,100,Warmups,4
Domestic Dog,MPI,Blue,M,3,66,100,100,100,Warmups,6
Eurasian jay,University of Cambridge,Quito,M,4,1,60,40,80,Warmups,4
Eurasian jay,University of Cambridge,Ohorougu,F,3,2,40,60,20,Warmups,5
Eurasian jay,University of Cambridge,Wilson,M,3,3,20,20,20,Warmups,5
Eurasian jay,University of Cambridge,Hoy,M,3,4,100,100,100,Warmups,4
Eurasian jay,University of Cambridge,Hunter,F,3,5,60,60,60,Warmups,4
Eurasian jay,University of Cambridge,Romero,M,3,6,70,60,80,Warmups,5
Fox squirrel,UC Berkeley,Cal,F,Unkown,1,90,100,80,Warmups,7
Fox squirrel,UC Berkeley,Missi,U,Unkown,2,50,20,80,Warmups,7
Fox squirrel,UC Berkeley,Tornado,U,Unkown,3,70,60,80,Warmups,4
Fox squirrel,UC Berkeley,Dot,F,Unkown,4,30,20,40,Warmups,9
Fox squirrel,UC Berkeley,Boomerang,U,Unkown,5,80,60,100,Warmups,4
Fox squirrel,UC Berkeley,Jemaine,F,Unkown,6,80,80,80,Warmups,4
Fox squirrel,UC Berkeley,Van,U,Unkown,7,50,60,40,Warmups,5
Fox squirrel,UC Berkeley,Nemo,F,Unkown,8,80,80,80,Warmups,5
Fox squirrel,UC Berkeley,Picasso,F,Unkown,9,90,80,100,Warmups,4
Fox squirrel,UC Berkeley,Grumpy,F,Unkown,10,60,40,80,Warmups,4
Fox squirrel,UC Berkeley,Rooster Jr,M,Unkown,11,100,100,100,Warmups,4
Fox squirrel,UC Berkeley,Rooster,M,Unkown,12,40,60,20,Warmups,10
Fox squirrel,UC Berkeley,Slow Eater,U,Unkown,13,50,60,40,Warmups,5
Golden Monkey,Beijing Wildlife Park,Lao er,M,21,1,40,40,40,Warmups,4
Golden Monkey,Beijing Wildlife Park,Xiao Zai,F,3,2,10,0,20,Warmups,4
Golden Monkey,Beijing Wildlife Park,Xiao Hai,M,20,3,0,0,0,Warmups,7
Golden Monkey,Beijing Wildlife Park,Wu Mei,F,8,4,80,60,100,Warmups,9
Golden Monkey,Beijing Wildlife Park,Tao Tao,F,4,5,40,20,60,Warmups,4
Golden Monkey,Beijing Wildlife Park,Liu Mei,F,7,6,60,20,100,Warmups,4
Golden Monkey,Beijing Wildlife Park,Jian Jian,M,16,7,50,60,40,Warmups,8
Golden Monkey,Beijing Wildlife Park,Xiao Mei,F,17,8,0,0,0,Warmups,5
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg25,M,12,1,30,0,60,Warmups,4
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cgBIG,M,5,2,100,100,100,Warmups,4
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg33,F,5,3,100,100,100,Warmups,4
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cgRT,F,3,4,10,20,0,Warmups,4
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg40,F,5,5,90,80,100,Warmups,4
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg03,F,5,6,80,100,60,Warmups,4
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg02,F,5,7,70,60,80,Warmups,4
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg28,F,7,8,50,20,80,Warmups,4
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg43,M,10,9,70,40,100,Warmups,4
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,cg13,F,5,10,30,20,40,Warmups,4
Gorilla,MPI - Leipzig,Viringika,F,16,1,100,100,100,Warmups,4
Gorilla,MPI - Leipzig,Kibara,F,7,2,100,100,100,Warmups,4
Gorilla,MPI - Leipzig,Louna,F,4,3,80,100,60,Warmups,4
Gorilla,National Zoo,Kwame,M,10,4,100,100,100,Warmups,5
Gorilla,National Zoo,Haloko,F,42,5,90,80,100,Warmups,4
Gorilla,National Zoo,Mandara,F,28,6,90,100,80,Warmups,5
Gorilla,National Zoo,Kojo,M,8,7,90,100,80,Warmups,4
Gorilla,National Zoo,Baraka,M,17,8,100,100,100,Warmups,5
Gorilla,National Zoo,Kigali,F,15,9,100,100,100,Warmups,4
Gray wolf,Wolf Science Center,Kaspar,M,2.6767123287671235,1,90,100,80,Warmups,4
Gray wolf,Wolf Science Center,Apache,M,2.2575342465753425,2,70,60,80,Warmups,4
Gray wolf,Wolf Science Center,Cherokee,M,1.6767123287671233,3,90,80,100,Warmups,4
Gray wolf,Wolf Science Center,Shima,F,2.6767123287671235,4,90,80,100,Warmups,4
Gray wolf,Wolf Science Center,Nanuk,M,1.6767123287671233,5,100,100,100,Warmups,4
Gray wolf,Wolf Science Center,Tatonga,F,1.6767123287671233,6,50,0,100,Warmups,6
Gray wolf,Wolf Science Center,Geronimo,M,1.6767123287671233,7,20,20,20,Warmups,8
Gray wolf,Wolf Science Center,Yukon,F,1.6767123287671233,8,70,60,80,Warmups,4
Gray wolf,Wolf Science Center,Wapi,M,0.73424657534246573,9,80,80,80,Warmups,14
Gray wolf,Wolf Science Center,Kenai,M,0.31506849315068491,10,100,100,100,Warmups,4
Gray wolf,Wolf Science Center,Aragorn,M,2.6767123287671235,11,90,100,80,Warmups,4
Hamadryus baboon,North Carolina Zoo,Tchabu,M,5,1,100,100,100,Warmups,5
Hamadryus baboon,North Carolina Zoo,Cairo,M,5,2,90,80,100,Warmups,4
Hamadryus baboon,North Carolina Zoo,Geb,M,6,3,60,20,100,Warmups,5
Hamadryus baboon,North Carolina Zoo,Matilda,F,20,4,0,0,0,Warmups,6
Hamadryus baboon,North Carolina Zoo,Mendi,F,12,5,50,20,80,Warmups,4
Hamadryus baboon,North Carolina Zoo,Gondar,M,12,6,100,100,100,Warmups,6
Hamadryus baboon,North Carolina Zoo,Tukio,M,5,7,90,100,80,Warmups,7
Hamadryus baboon,North Carolina Zoo,Marta,F,23,8,20,0,40,Warmups,5
Hamadryus baboon,North Carolina Zoo,Riya,F,7,9,100,100,100,Warmups,4
Marmoset,University of Zurich,Juniper,M,12,1,11.11111111111111,0,25,Warmups,10
Marmoset,University of Zurich,Kapi,M,7,2,30,20,40,Warmups,4
Marmoset,University of Zurich,Kantor,M,6,3,60,80,40,Warmups,4
Marmoset,University of Zurich,Kaliper,M,8,4,0,0,0,Warmups,5
Marmoset,University of Zurich,Kalium,F,12,5,20,0,40,Warmups,5
Marmoset,University of Zurich,Venus,F,5,6,40,60,20,Warmups,4
Marmoset,University of Zurich,Venezia,F,4,7,50,40,60,Warmups,4
Marmoset,University of Zurich,Vesta,F,8,8,30,0,60,Warmups,11
Marmoset,University of Zurich,Verona,F,8,9,90,80,100,Warmups,4
Marmoset,University of Zurich,Vreni,F,8,10,20,0,40,Warmups,4
Marmoset,University of Zurich,Juri,M,9,11,0,0,0,Warmups,4
Mongolian gerbil,UC Berkeley,Dva,F,1.5,1,50,40,60,Warmups,5
Mongolian gerbil,UC Berkeley,Adlin,M,1.5,2,60,60,60,Warmups,4
Mongolian gerbil,UC Berkeley,Tri,M,1.5,3,50,40,60,Warmups,4
Mongolian gerbil,UC Berkeley,Chetryi,F,1.5,4,60,40,80,Warmups,15
